HITId	HITTypeId	FileNumber	Downloaded
3XT3KXP24ZYMA88FTTZNN70TGQV6IW	3WXKWJ1SHDSUTMCNQKBMSZ5NUYBTD4	result0004.wma	1
3VMV5CHJZ8FEGFDWZI7DD5FRLLEGTP	3WXKWJ1SHDSUTMCNQKBMSZ5NUYBTD4	result0006.amr	1
3S1L4CQSFX53NJISIYAE0FPNWHSAFY	3WXKWJ1SHDSUTMCNQKBMSZ5NUYBTD4	result0003.3gpp	1
3X2LT8FDHWIRFHB8BP008C5S1WJ8WR	3WXKWJ1SHDSUTMCNQKBMSZ5NUYBTD4	result0002.amr	1
3VMHWJRYHVGFJWQLT82SKN0LX21FX7	3WXKWJ1SHDSUTMCNQKBMSZ5NUYBTD4	result0009.wav	1
3OKP4QVBP2X91JENTIGWI0PZXWSAGX	3WXKWJ1SHDSUTMCNQKBMSZ5NUYBTD4	result0005.wav	1
3QX22DUVOOHTLHD7FG5NRSN9ES5VMR	3WXKWJ1SHDSUTMCNQKBMSZ5NUYBTD4	result0008.wma	1
3WGCNLZJKF8AVBRWV9MV1ETZGA6D12	3WXKWJ1SHDSUTMCNQKBMSZ5NUYBTD4	result0001.mp3	1
3TKXBROM5TAYY3NMDCTCWB5Y2WEIJD	3WXKWJ1SHDSUTMCNQKBMSZ5NUYBTD4	result0010.wma	1
37NXA7GVST69FZVMF448RF8KENFVLP	3WXKWJ1SHDSUTMCNQKBMSZ5NUYBTD4	result0007.amr	1
